,age,height,weight,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
age,1.0,0.09806182075702782,0.14465457358486397,0.38257497345578895,-0.08817457882005902,0.044611725918323554,-0.020832222749025228,0.08145056670498892,0.053334990721586366,0.027294854419379455,-0.08440676478897784,0.031387869324844574,0.07554501248023628,0.13353578040977235,-0.006982843596911884,-0.24106282163208564,-0.24124369186452171,-0.16260936120246125,0.27213561710104567,-0.1178677452326113,0.09679247137910085,0.152173685931986,-0.08269607999927647,0.2703614363718981,0.0405721246977959,0.23575715403446423,0.14144375058103797,-0.04247611801384145,0.062030110266522366,0.06495372662280799,0.0987599952515674,0.10493672919306983,0.08510204864357826,0.14436755644927024,0.11754868943055996,0.03431738394416586,0.12231890459858757,0.12540003594364024
height,0.09806182075702782,1.0,0.7910244952110246,0.025880184900712436,-0.03020409158050515,-0.5625002826430026,-0.4096848272013391,0.14228223203916296,-0.39944559843918276,-0.4017641020486012,-0.5511077866867984,-0.5260595679189655,-0.4232410127473844,-0.35341614180280645,-0.47493057921025583,-0.616530650285596,-0.5222048378634344,-0.6909109244387094,-0.13283020325723888,-0.7145914847232351,-0.28734951696008953,0.04707716663547145,-0.2805272140561646,0.6080215216428366,-0.41816951328289825,0.07276717532543443,0.04119726158997285,-0.46028758463801167,-0.45094200995202427,-0.36294001316033747,0.08790741263014384,0.0677462353294605,0.04685909150337175,0.3447800601115146,0.340058986180656,0.22436624319393336,0.3352757705592382,0.3388803243797847
weight,0.14465457358486397,0.7910244952110246,1.0,0.035107480802149135,-0.039171163329439984,-0.5059455615531365,-0.34618383334726804,0.08969343396394641,-0.3749703348060933,-0.3393434996986655,-0.5201539588911794,-0.4759537961344678,-0.3465754083527646,-0.31054341854223944,-0.45361172212162887,-0.5864098969126412,-0.5094520121943658,-0.6424235787153838,-0.130607584098599,-0.6137277817704405,-0.22074721232324138,0.04635252509879455,-0.2942380118624546,0.6240391804676914,-0.3478233422188576,0.06866661906064296,0.023951421363096786,-0.4195979127362121,-0.41011713592553245,-0.2811205612627848,0.056305276852013066,0.030069078048857424,0.014812175810583413,0.34831736814488523,0.35002372467597936,0.24205256253451468,0.33945226506548304,0.3425022287372047
overall_rating,0.38257497345578895,0.025880184900712436,0.035107480802149135,1.0,0.7840105241160061,0.29105087750084113,0.26941604724924584,0.24034402795811036,0.4160500031313901,0.2908267862828413,0.2991253189580295,0.29871257576630267,0.3048024927558514,0.43003378781227763,0.37255929404097904,0.21367868587320585,0.21835096602954593,0.22107075520503472,0.7248295583793326,0.10939189538378866,0.37027353315286554,0.21121086767260658,0.24874610058812027,0.24035455882268245,0.32671268198051373,0.261465239989841,0.2372847117124112,0.2781744021252876,0.3991960806404366,0.3372543207883492,0.11063519050830208,0.1456166718581702,0.1158741819712532,0.05013881532665699,0.03729566980439568,0.07948501320856577,0.03612552349534189,0.043653601441206655
potential,-0.08817457882005902,-0.03020409158050515,-0.039171163329439984,0.7840105241160061,1.0,0.24988830623105424,0.2598896231230041,0.15629132021345182,0.36920364950854817,0.26004805657238,0.3232214552590452,0.27114205490335347,0.261284367015335,0.3615974144437068,0.3563720694766058,0.32380415022857234,0.3203173322539677,0.29820281529056214,0.5736224082889102,0.1700703423287938,0.2923502998462014,0.1270687665534504,0.24996386698978001,0.080716811802103,0.28949408912315794,0.10974213484210246,0.15925990831061188,0.28496414507160955,0.38375982353437954,0.3070088658072661,0.0370059386279027,0.07304501001286451,0.05623071674583229,0.01646005188062018,0.025508497986951022,0.1261148334997186,0.02636200372788826,0.029795729703008672
crossing,0.044611725918323554,-0.5625002826430026,-0.5059455615531365,0.29105087750084113,0.24988830623105424,1.0,0.65146063258704,0.312706220929081,0.7951695092942811,0.6510353237026848,0.8370488823306264,0.8272729707430869,0.7379098708605409,0.7070882691533666,0.8358756097007496,0.6669287906868296,0.6520237723483004,0.6406276035674184,0.3560871217074426,0.5686442384308528,0.6627910752481613,-0.08821907133545828,0.5372478112013732,-0.1959313741413823,0.7502889352871918,0.2567293698991547,0.2704227628840251,0.728136704125324,0.7293315615101645,0.6061605071907532,0.18526374367866125,0.23232900973037263,0.22018214772085706,-0.6265898814475614,-0.6187827247035496,-0.3729050229389803,-0.6167413731950963,-0.6227578016327266
finishing,-0.020832222749025228,-0.4096848272013391,-0.34618383334726804,0.26941604724924584,0.2598896231230041,0.65146063258704,1.0,0.37920604341654857,0.6374054683799004,0.8576843351103173,0.8148177235877829,0.7437314437702771,0.6861643589457381,0.4406222046578281,0.7744433865644034,0.5788555019534445,0.5582730333064969,0.5574234152919706,0.352593099207245,0.4385060060744246,0.7150316431390517,-0.07855661481453241,0.35605343283226415,-0.15334794986375608,0.8346064906190522,0.007699352747331306,-0.13400702473435663,0.8317552504511149,0.688465194525616,0.7524389061137202,-0.25518381040297816,-0.21102673794713814,-0.24503940766184773,-0.5471486153038484,-0.5319540506030864,-0.30935912441121843,-0.5249031085217192,-0.5406645249800652
heading_accuracy,0.08145056670498892,0.14228223203916296,0.08969343396394641,0.24034402795811036,0.15629132021345182,0.312706220929081,0.37920604341654857,1.0,0.5412222705086925,0.40681041648394994,0.3953253849014254,0.3097985391317792,0.33061329649543497,0.3302940231865221,0.5291933067833277,0.19041562564781161,0.2660805022057362,0.013159387301076403,0.2360775955800303,0.034774894975673466,0.5688486422412036,0.2163988649622379,0.4279249893066728,0.457094089479867,0.41399860591441173,0.5720556902062756,0.46388098722400345,0.366264075505266,0.3016892572768165,0.4093466914097542,0.47830956816919407,0.48950478761211735,0.45788641920217915,-0.6952580891295768,-0.6803833471023646,-0.41987955519474335,-0.6798878012969858,-0.6748382800854507
short_passing,0.053334990721586366,-0.39944559843918276,-0.3749703348060933,0.4160500031313901,0.36920364950854817,0.7951695092942811,0.6374054683799004,0.5412222705086925,1.0,0.6578437914712967,0.8145463391548547,0.7630173541521528,0.7291265200990672,0.8139618045934346,0.8912102300198199,0.5713115871447733,0.5573869798654267,0.5328437406886725,0.4168620038832868,0.48932967713941444,0.7327935963206684,-0.023695343296079523,0.5613387387267278,-0.014816515541485062,0.7684869025322416,0.39578657995949895,0.395203057962569,0.6922131038414383,0.7793973615970436,0.6511567003401878,0.3254700626459048,0.378341481463358,0.34384149574316564,-0.7116180829093849,-0.7082214278059088,-0.42356811240223646,-0.7076820893859723,-0.7047297534963467
volleys,0.027294854419379455,-0.4017641020486012,-0.3393434996986655,0.2908267862828413,0.26004805657238,0.6510353237026848,0.8576843351103173,0.40681041648394994,0.6578437914712967,1.0,0.8044251511805771,0.7474175569962487,0.6890959023625958,0.4368943296161324,0.7794828315023117,0.5632628526913276,0.5440176703711666,0.571142680404306,0.3625722589508667,0.43824613788874356,0.7090407112806064,-0.03425059538934389,0.35785687506065683,-0.10994146753075111,0.7992801164029214,0.0694202130671931,-0.053055048202973416,0.7909913586384225,0.6911964562502847,0.7389631432119361,-0.1697680073022283,-0.12144183359343298,-0.14475979498996125,-0.5692241088322655,-0.5446029367457116,-0.296994419931633,-0.5350381368380308,-0.5492692062408363
