,age,height,weight,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
age,1.0,-0.3333809684516471,-0.15885083599431934,0.4273710992601626,0.03821875371005879,-0.10676693849712285,-0.04779872580647373,-0.13774813470617112,-0.08795214085185189,0.02779871166315662,0.004652322889237372,-0.07450448016551231,-0.09079443792673475,-0.007227637123742576,0.17456153972050156,0.10510540989140302,0.0680481747669951,0.1607317162674337,0.30316994149119253,0.11263451799782821,0.019338756172382243,0.2453401779616505,0.04752671549507001,0.10581728206121994,-0.2161152223957665,0.32470245260214714,-0.011289038200019861,-0.1809501764083955,0.11048985155126465,-0.03892227041233682,-0.06098738096305578,-0.027950292818019144,0.06618271489621876,0.36708794369457937,0.35780878388143766,0.3174342752695981,0.47368041163098046,0.26908921771527056
height,-0.3333809684516471,1.0,0.5878188936986659,-0.028256825905626504,0.12118897988762471,3.413142690790029e-05,-0.04261761997960647,0.05839354664072205,0.12225876263312568,0.0021214737548155157,0.016029073491241774,0.0811308768236096,0.035399633779513356,-0.1812255467780272,-0.039307000602907365,-0.13582773894505612,-0.14979106006571843,-0.20862816245909208,-0.11604987072349145,-0.37516293404278195,0.07309369575937237,-0.19086633934391542,-0.17137391447732392,0.24841680313479797,0.1366120172088884,-0.26869624421725774,-0.182187971743062,-0.0035433398491843283,-0.19828138783591068,-0.18828478895195883,-0.026820579024527468,0.02297223557581389,-0.0942986216235516,-0.014717928530171072,-0.06716573674422432,-0.0374336595911355,0.06026194182807014,-0.0435156144672423
weight,-0.15885083599431934,0.5878188936986659,1.0,-0.025060887383572036,0.07310289606280211,0.07674826659812131,0.037882989689990425,0.11222602533747726,0.13896844261840963,0.11203907593958033,0.07028156370224857,0.0034445238803994375,0.03692601504529142,-0.10583806561223032,-0.01912859800378281,-0.2798940422688359,-0.27665086039981396,-0.18317181360581872,-0.09108708998540209,-0.22850133553890847,0.12765834011645472,-0.08341025019217324,-0.12741328182179562,0.24941658942119585,0.11338026648057947,-0.17789163685252135,-0.11955014522570367,0.024497865654720636,-0.14656533238566896,-0.07417265549535806,0.0229914793937165,0.07112528990510601,0.037269836736849346,-0.0625983639637905,-0.02616461370648957,-0.026086196459306682,0.1006071885719675,-0.07551569916135761
overall_rating,0.4273710992601626,-0.028256825905626504,-0.025060887383572036,1.0,0.7805102375267348,0.08366908208954402,0.003709393252677408,-0.0006531152433023448,0.11646380909245689,0.14283760866748807,0.08819731975588196,0.037310843669177335,0.016575756756112135,0.0918867717488733,0.2049942931070703,0.3000183502278237,0.20660256404432129,0.3075705478601064,0.560920182136732,-0.0955303577049778,0.10542340405157591,0.44078537193253287,0.09904072457371764,0.2180391029376864,0.0251112269666915,0.13040772070850903,0.065471898969637,-0.03852277900707086,0.17839357009971074,-0.01688763355338292,0.05228483701036277,0.1061663934066788,0.16380540728886472,0.8979193294953154,0.8281482167136965,0.6697274121569193,0.8631620135854412,0.877756394683655
potential,0.03821875371005879,0.12118897988762471,0.07310289606280211,0.7805102375267348,1.0,0.07673320719058994,-0.02665784761736617,0.011055029979859635,0.12535646692752264,0.05730098120033366,0.07658927214384335,-0.056511439940048064,0.020316748179121023,0.13616427217110189,0.1282215648438062,0.26484474251666174,0.1783509352760022,0.2213445156874301,0.4072214037951662,-0.10089859016911461,0.05738036176839696,0.30735910139063044,0.18236240071050971,0.2467862539326453,0.06895444025774533,0.03521695243443483,0.14598668580679258,0.029247422722353207,0.1868902272403196,0.07101946522737325,0.029960934838913437,0.07050675109321895,0.1364418263189375,0.7209860969043156,0.6501822527433672,0.4977495829260127,0.6255959204530622,0.7059187855433083
crossing,-0.10676693849712285,3.413142690790029e-05,0.07674826659812131,0.08366908208954402,0.07673320719058994,1.0,0.856915077676349,0.797679180571157,0.1816778020581015,0.5846039244347847,0.7247410561253095,0.6138793077827522,0.45300649864776227,0.3580616454236612,0.21065025309633975,0.05819992227932779,0.028180067476386707,0.04725429663165976,0.007518022025131,-0.012045585674715632,0.16990101553484988,0.06316685894082821,0.04193783681255389,-0.0021702846346531423,0.7979167731158218,-0.09066393474273308,0.33844564105964126,0.5311132108111137,-0.002070658354528337,0.34044850281993166,0.8475023293974924,0.7512186580241542,0.6692536932687574,0.058558420288604654,0.03733687437665598,0.10667247362526758,0.04320020452489589,0.11805768792922726
finishing,-0.04779872580647373,-0.04261761997960647,0.037882989689990425,0.003709393252677408,-0.02665784761736617,0.856915077676349,1.0,0.7270579160489314,0.09550463936475287,0.5147655083641823,0.7111365252438294,0.5586594694099056,0.475799465600452,0.3958130343098704,0.2080172223885686,0.02968445172672793,-0.019763379622157053,0.02125627710363669,0.05574618108909975,0.050776627725555495,0.20622028437028656,0.02352722003080403,0.036417875619671934,0.006006004015175982,0.7670495614440901,-0.028015499427095164,0.3582692931510297,0.5483545984088545,-0.03149347635914318,0.3765553527004198,0.8569251261812537,0.7709998028450017,0.6718476454669478,-0.04366682505994622,-0.027030600471931596,0.02794504972990549,-0.014477237158689898,0.037595407550113945
heading_accuracy,-0.13774813470617112,0.05839354664072205,0.11222602533747726,-0.0006531152433023448,0.011055029979859635,0.797679180571157,0.7270579160489314,1.0,0.2336354572903033,0.5301389603789687,0.6428931150710295,0.5805584359724117,0.3567480197337221,0.3194457934387387,0.17178957527975758,0.05369975576950096,0.018840759892524858,0.0707263349967309,0.01326329664252523,0.03436051214715706,0.21126668953905547,0.07293028146133144,-0.03683708354056497,-0.033478252658111295,0.7320309422558123,-0.11618560679697414,0.2491285984673964,0.4585504123006019,-0.017597598096865764,0.27109511004368186,0.7002398742704576,0.6995579923657619,0.6246492328123805,-0.0417530983334117,-0.017000402523332358,0.06905362966828966,0.007979682697737299,0.014749039959362243
short_passing,-0.08795214085185189,0.12225876263312568,0.13896844261840963,0.11646380909245689,0.12535646692752264,0.1816778020581015,0.09550463936475287,0.2336354572903033,1.0,0.14697817937139693,0.23152358972127837,0.16490512706656016,0.10445166338960014,0.2670662517405492,0.2824231175589552,0.12763395805013983,0.12808099300157452,0.2022417561531649,0.061778453379621574,0.1013721929320521,0.1239880044347429,0.1805972010204534,0.08786230100886869,-0.051480781902051145,0.17675566903207,-0.04405416146892208,-0.0216638755937551,0.14239493081067864,0.08409156485909913,0.025272301208821832,0.1404187949001927,0.187690731467831,0.18395611650585794,0.1343684349488664,0.06841572863239145,0.22251580837235546,0.06467390976991767,0.1176897235312252
volleys,0.02779871166315662,0.0021214737548155157,0.11203907593958033,0.14283760866748807,0.05730098120033366,0.5846039244347847,0.5147655083641823,0.5301389603789687,0.14697817937139693,1.0,0.5424553702071901,0.524652572627034,0.40305678426445146,-0.05510386476199278,0.08070514819364538,-0.04866008296180122,-0.12375042787320417,0.016868978330024872,0.06879130329561546,-0.1264511919957717,0.09450855588557386,0.00601890001849949,-0.25204101851488764,0.051653656927845064,0.5772713699184061,-0.19812694642549736,-0.06666151529046563,0.14088973806235297,-0.20497973961514693,-0.04349639834464495,0.5480756650191334,0.43610382926045205,0.5725057238011132,0.10821519983932644,0.11775981967794395,0.1338471524363256,0.09910025482261393,0.16647702346119136
dribbling,0.004652322889237372,0.016029073491241774,0.07028156370224857,0.08819731975588196,0.07658927214384335,0.7247410561253095,0.7111365252438294,0.6428931150710295,0.23152358972127837,0.5424553702071901,1.0,0.5156725958676113,0.39119032577216956,0.33933845810391305,0.3382060885743125,0.11248286939232473,0.08084861996441992,0.07666375361375821,0.11444432226257426,0.07167135141288113,0.2322264708992392,0.0887970381047228,0.007930160111124252,-0.03358925496347927,0.6855072135127018,-0.01141792363031026,0.2967530850337416,0.4766824435764544,0.034181751888405554,0.2547779259171596,0.7094952267717549,0.647999148496197,0.5855695304667132,0.0692890281962998,0.03327967079292297,0.12785943849113213,0.020708708480501218,0.1358942989106942
curve,-0.07450448016551231,0.0811308768236096,0.0034445238803994375,0.037310843669177335,-0.056511439940048064,0.6138793077827522,0.5586594694099056,0.5805584359724117,0.16490512706656016,0.524652572627034,0.5156725958676113,1.0,0.4580820580015137,-0.07808296683549931,0.1514797803012069,-0.013149482994124984,-0.08719323815778444,-0.08623005339019973,0.015359863194322431,-0.06598959398355138,0.07916830487120795,-0.01957652846156444,-0.19317642911413005,0.01002085754113356,0.568390011668392,-0.17908687551481722,-0.08820503312143607,0.2254099522281512,-0.22985199627892916,-0.1293488889564758,0.5419010367799696,0.4682068166957374,0.46618540545036496,0.03521020118465992,0.030062457213536533,0.06478358475634528,0.002177038506239494,0.06764403087180874
free_kick_accuracy,-0.09079443792673475,0.035399633779513356,0.03692601504529142,0.016575756756112135,0.020316748179121023,0.45300649864776227,0.475799465600452,0.3567480197337221,0.10445166338960014,0.40305678426445146,0.39119032577216956,0.4580820580015137,1.0,0.12353148710441486,0.12751634240429496,0.017123757024350136,0.024659570881029592,-0.014232540988199333,-0.03308725860323686,0.00198875355400344,0.05359376233235685,0.03709928492331355,0.015772764938624208,0.032825066480715016,0.3853282421644516,-0.09354770998708176,0.15667781742960982,0.2370016799768319,-0.07816852380580586,0.19200960677369097,0.4457835535314665,0.3683945657757616,0.4388765952953022,-0.009767922802016507,-0.02041377182332869,0.007009668272345383,-0.011425185601585059,0.07056418433851322
