,age,height,weight,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
age,1.0,0.08442172089186314,0.1284852149959219,0.38139192211763284,-0.09882717183019667,0.1967070049342496,0.07692781385343189,0.287033563480762,0.26218467784993027,0.14185255516660752,0.023467264649176704,0.16771086285391118,0.21665429653789275,0.2708121828091971,0.1716919864703175,-0.22960671479733452,-0.22647909903228072,-0.1461768308450206,0.29269951851205794,-0.08716498449518005,0.2738824776983813,0.14201159077384273,-0.011662108029382926,0.29412808973606946,0.18698439754894847,0.33715247036341545,0.22848104970664987,0.07187031059692854,0.16837820553334576,0.1938997987592717,0.1809327465673824,0.19446212746480235,0.16311413199277014,-0.02924380993552521,-0.10649448105273944,-0.08666120218930796,-0.1130885635041137,-0.07411655728066506
height,0.08442172089186314,1.0,0.773560633746801,0.025748051728060616,-0.0348386252565134,-0.4871336669595156,-0.283394104861297,0.6175190078563441,-0.24089416513939677,-0.2696363952941915,-0.4770675821038899,-0.43789178096671577,-0.3015694657722657,-0.2320681444188901,-0.35781528844948307,-0.5701069281499307,-0.43786973694663456,-0.6720971274783182,-0.09883942287569117,-0.6939071609512116,-0.08987463122055986,0.05458531851598302,-0.10501703279533076,0.6864767045764667,-0.2850107424399278,0.30960748841715285,0.21580892050255956,-0.3535313263740926,-0.3443670548691461,-0.22551987647887925,0.26981974396008696,0.25993236853332025,0.2275927067620085,0.012433306600340402,0.02749604772458859,0.00664508442351099,-0.005618402763298241,0.013888933721727439
weight,0.1284852149959219,0.773560633746801,1.0,0.03678214145398577,-0.0433504597357766,-0.40911328300104827,-0.20056435551973564,0.5443605152484489,-0.19930964545327565,-0.18790597733551034,-0.4311369431305199,-0.36525643852633133,-0.19551649643843833,-0.1781430265781367,-0.3175025198038595,-0.5189888019630708,-0.4092681461075034,-0.6172927139591563,-0.09754446879474334,-0.5790587724829497,0.010058737301162596,0.04882015820022543,-0.12348605720031494,0.7115948512190541,-0.18348592802978014,0.3075210582361499,0.19795765075226587,-0.2983420874631377,-0.2912669297263307,-0.11888269268856859,0.23642281902344528,0.2182809758005951,0.1905047061030364,0.013986115246929704,0.046308447982069754,0.027727236597298158,-0.013029049926336512,0.014557183978883429
overall_rating,0.38139192211763284,0.025748051728060616,0.03678214145398577,1.0,0.784822079297367,0.4088956254618903,0.3494311617392778,0.37406135613929187,0.6655476938923969,0.3779061651892607,0.45873254039784983,0.41033897998334085,0.4056084406139395,0.5553007871140363,0.6467477453136988,0.2623820931136805,0.2825421401411149,0.24199581081819885,0.7595074077947293,0.14714708911947394,0.5300344342468294,0.1946773570979863,0.32781077175027484,0.24256233696451324,0.4491224390126085,0.3121751121576708,0.272819000815905,0.3837101268473895,0.5060706525563192,0.45234844938982155,0.1299296773137231,0.17083483670099045,0.13328115487168923,0.07172502335999971,0.005948200059179973,0.07438218643464452,-0.008838946813712405,0.025401149469867573
potential,-0.09882717183019667,-0.0348386252565134,-0.0433504597357766,0.784822079297367,1.0,0.3244019377247206,0.3163639835536608,0.21373923909568704,0.5542590923241151,0.31811916015272385,0.4616502097206018,0.3507383806463266,0.324985461849683,0.4412937905245013,0.58011594064052,0.38480125597648895,0.39554671672366803,0.3246116664633793,0.6014151310212946,0.20516921824244772,0.39357418451753146,0.1144580336753411,0.29849870902082826,0.06785850111761318,0.37118270772194084,0.11965760244216671,0.16549503977969185,0.3631938562662349,0.4640496532655791,0.3819851749454492,0.03285357496560162,0.07300980816566348,0.05140577489973021,0.08553238756152784,0.09305206332311113,0.16961264655564562,0.09765786698011124,0.11135394157006653
crossing,0.1967070049342496,-0.4871336669595156,-0.40911328300104827,0.4088956254618903,0.3244019377247206,1.0,0.45030126596930226,-0.30196854215176033,0.6326948101255535,0.44183994208723293,0.7017810059119036,0.7122898790558037,0.5851604706250311,0.6276386526920924,0.7060971148640302,0.5102907258972411,0.47064849498421285,0.5746723952234041,0.40687478608415834,0.46009413225528,0.42395388943986756,-0.1001515157910001,0.292906010521004,-0.29585766035782063,0.575709476004849,-0.04384088382772078,0.033526894402541765,0.5635289129703839,0.630987660034376,0.4143181936892514,-0.10915055651048657,-0.06758065663943397,-0.06695406341874854,0.05207868932827017,-0.004192671444899048,0.05741916807756268,0.011899617802919529,-0.009860308545725947
finishing,0.07692781385343189,-0.283394104861297,-0.20056435551973564,0.3494311617392778,0.3163639835536608,0.45030126596930226,1.0,-0.04942845901006778,0.41164721058690246,0.794395050508077,0.7157164864685599,0.6099020443000631,0.5361030213239564,0.23325220115408082,0.6645130573300997,0.40955399623765615,0.36717080576795835,0.4620412421608589,0.3800028952661173,0.28782999519955216,0.5710346299751257,-0.08140602403077996,0.06567779911776561,-0.2149536427736758,0.7487862790246081,-0.3398383196674136,-0.46801793017487475,0.760389127213156,0.5896193438638211,0.6755919199453554,-0.639587524750883,-0.6098934659494141,-0.6360795541384039,0.009128047794424013,0.011322076558207142,0.06673288519990205,0.048264633606182224,-0.016526836321190955
heading_accuracy,0.287033563480762,0.6175190078563441,0.5443605152484489,0.37406135613929187,0.21373923909568704,-0.30196854215176033,-0.04942845901006778,1.0,0.02444057591240366,-0.02062967035204169,-0.2509142989864292,-0.26456608047622276,-0.1653171844817075,-0.05234796927042898,-0.08214301320116948,-0.3661187778519948,-0.2659141180308218,-0.44407085921521106,0.24096260349550877,-0.43966043958333995,0.19134105215291808,0.3470164801992674,0.05794147532241623,0.6507715520498658,-0.07630889687339786,0.4355337945023064,0.3081462104150251,-0.1262136960050107,-0.13624406370296063,0.03272667544427981,0.30409177455112313,0.2940335279893962,0.2627768603225476,0.016218501847648538,-0.004516903292269801,0.05038419710008246,0.004398748872657736,0.04710965917550042
short_passing,0.26218467784993027,-0.24089416513939677,-0.19930964545327565,0.6655476938923969,0.5542590923241151,0.6326948101255535,0.41164721058690246,0.02444057591240366,1.0,0.4290180503055132,0.6236565805449463,0.5884422701486657,0.5630196793267563,0.8383500830222294,0.7644348271724012,0.30345448031021893,0.2475446945122879,0.40053514437894266,0.5457303174110906,0.3132548669004193,0.5081458101954146,-0.018034541150471955,0.2807769425310605,-0.05611848187178598,0.5954140977558218,0.12324584303512962,0.2033933306924935,0.4841201490446018,0.7221983708065525,0.4860418000780878,0.057161564823100884,0.11133222543717297,0.07562193034429188,0.08182805638429262,-0.022621298320327266,0.0749918243264034,-0.011732524612659124,0.016893152200555858
volleys,0.14185255516660752,-0.2696363952941915,-0.18790597733551034,0.3779061651892607,0.31811916015272385,0.44183994208723293,0.794395050508077,-0.02062967035204169,0.4290180503055132,1.0,0.688202955582575,0.6075208759841225,0.5340784318165316,0.24314208564325693,0.6581501452102471,0.3790451230589332,0.3374956764925865,0.47842523645603563,0.3959771008586626,0.28861645960596277,0.552896615364277,-0.024870121070772137,0.06522877770943447,-0.16520879114060263,0.6885340037803206,-0.2620279048982767,-0.3631140750767226,0.7035673517642995,0.5950485550747155,0.6697162658998861,-0.541046847833961,-0.5037048523472093,-0.5190321020504386,-0.027532826955999345,0.02807601943101711,0.10501288594743913,0.07907710721312525,0.02172762692733015
dribbling,0.023467264649176704,-0.4770675821038899,-0.4311369431305199,0.45873254039784983,0.4616502097206018,0.7017810059119036,0.7157164864685599,-0.2509142989864292,0.6236565805449463,0.688202955582575,1.0,0.7279307192301471,0.5877518657849771,0.4775834863549671,0.8606054991447766,0.6360410949559159,0.5774777045904405,0.6740807305128693,0.45185127259851265,0.46890024081051557,0.5518910637451586,-0.10344577059378858,0.1957650954860003,-0.3622888946335097,0.7126176984154895,-0.27960451298009226,-0.2876450012168646,0.7290767086821719,0.6644216273669395,0.5659151632858151,-0.46054961759030855,-0.41154190362350734,-0.4203995577630198,0.05775275838661559,-0.04726664034760261,0.007379152444329565,0.003318851406556724,-0.04338590883152495
curve,0.16771086285391118,-0.43789178096671577,-0.36525643852633133,0.41033897998334085,0.3507383806463266,0.7122898790558037,0.6099020443000631,-0.26456608047622276,0.5884422701486657,0.6075208759841225,0.7279307192301471,1.0,0.7177820902850263,0.5281020424190902,0.7237673926559658,0.47067169927693314,0.39754185160351246,0.5810468272605778,0.4121814254607891,0.44364281860638227,0.5160857584041939,-0.09885522685754336,0.1395166231987217,-0.29461616739973345,0.7038265002155387,-0.18390226965966766,-0.172053854779238,0.6409570915121865,0.6771480969179995,0.5465654900961632,-0.3354243065729486,-0.2791871028831675,-0.29176783839140785,0.028891686957132835,-0.003304722521609553,0.048495412205540996,0.030203329877114445,-0.01650527676904609
free_kick_accuracy,0.21665429653789275,-0.3015694657722657,-0.19551649643843833,0.4056084406139395,0.324985461849683,0.5851604706250311,0.5361030213239564,-0.1653171844817075,0.5630196793267563,0.5340784318165316,0.5877518657849771,0.7177820902850263,1.0,0.5372903328841149,0.6251270100057477,0.29430823758312685,0.21422538065260974,0.40225618213340664,0.3561098195575066,0.3268086379693241,0.5417838923020118,-0.14090059100134855,0.07934185158397093,-0.16108957691850675,0.7033913411781771,-0.1043862919823909,-0.08898010554365897,0.559281650744393,0.658417980850051,0.5959223485229292,-0.2352803777280134,-0.1912068644121418,-0.22059002261348581,0.024071398357731758,0.015789622334453964,0.1052970110612185,0.07533631891774893,0.009025016932560843
long_passing,0.2708121828091971,-0.2320681444188901,-0.1781430265781367,0.5553007871140363,0.4412937905245013,0.6276386526920924,0.23325220115408082,-0.05234796927042898,0.8383500830222294,0.24314208564325693,0.4775834863549671,0.5281020424190902,0.5372903328841149,1.0,0.6232001468345199,0.21805697519443995,0.15283970656669119,0.31530995712836646,0.44617250133650566,0.2810752566994758,0.4072972980305508,-0.05971549149817003,0.2693082202465219,-0.048368802887307355,0.504024797491486,0.21210405149670547,0.32703949042329206,0.322660729237511,0.6332550151674577,0.3524327299439079,0.21645114099362842,0.26198750040651003,0.23224990705260043,0.10281011410994657,-0.01683395533211792,0.0751201196001054,-0.017101546128308946,0.000440525859582774
ball_control,0.1716919864703175,-0.35781528844948307,-0.3175025198038595,0.6467477453136988,0.58011594064052,0.7060971148640302,0.6645130573300997,-0.08214301320116948,0.7644348271724012,0.6581501452102471,0.8606054991447766,0.7237673926559658,0.6251270100057477,0.6232001468345199,1.0,0.522335325490633,0.46363159322846503,0.5898434079450402,0.5741437127874136,0.4136637387916393,0.5925113218530161,-0.024396859486878485,0.2471711043868297,-0.2061336077864418,0.7101689635602254,-0.10570857817427934,-0.11515813547854015,0.7122443734865692,0.7424632255366792,0.6088656304116326,-0.28855796840307874,-0.2296103472219239,-0.25071300856469014,0.058245012147072166,-0.04383753766596059,0.036855077106537196,-0.010881007600821807,-0.0162296126456161
