,age,height,weight,overall_rating,potential,total_attack,total_skill,total_movement,total_power,total_mentality,total_defending,total_goalkeeping,player_fifa_api_id,player_name
1045,31.0,177.8,165,73.0,75.0,311.0,319.0,375.0,355.0,351.0,219.0,42.0,17880,Abel
1046,31.0,177.8,165,72.0,75.0,307.0,318.0,375.0,355.0,372.0,216.0,143.0,17880,Abel
1047,30.0,177.8,165,73.0,75.0,305.0,316.0,377.0,357.0,372.0,221.0,143.0,17880,Abel
1048,28.0,177.8,165,73.0,75.0,298.0,311.0,372.0,355.0,370.0,221.0,141.0,17880,Abel
1049,28.0,177.8,165,70.0,72.0,288.0,335.0,366.0,346.0,356.0,212.0,102.0,17880,Abel
1322,23.0,190.5,187,75.0,77.0,264.0,223.0,333.0,352.0,335.0,199.0,118.0,158505,Adailton
1321,24.0,190.5,187,75.0,77.0,264.0,223.0,333.0,352.0,335.0,199.0,118.0,158505,Adailton
1320,25.0,190.5,187,72.0,77.0,264.0,223.0,333.0,352.0,335.0,199.0,118.0,158505,Adailton
1319,25.0,190.5,187,72.0,76.0,264.0,223.0,333.0,352.0,335.0,199.0,118.0,158505,Adailton
1318,26.0,190.5,187,70.0,74.0,254.0,217.0,333.0,349.0,320.0,188.0,116.0,158505,Adailton
1317,26.0,190.5,187,65.0,73.0,234.0,217.0,340.0,327.0,316.0,180.0,117.0,158505,Adailton
1316,27.0,190.5,187,65.0,74.0,237.0,221.0,340.0,346.0,254.0,176.0,56.0,158505,Adailton
1315,28.0,190.5,187,65.0,69.0,234.0,214.0,284.0,321.0,262.0,191.0,56.0,158505,Adailton
1313,29.0,190.5,187,66.0,69.0,239.0,214.0,248.0,303.0,262.0,197.0,56.0,158505,Adailton
1312,30.0,190.5,187,66.0,66.0,239.0,214.0,248.0,303.0,262.0,197.0,56.0,158505,Adailton
1311,31.0,190.5,187,66.0,66.0,239.0,214.0,248.0,303.0,262.0,197.0,56.0,158505,Adailton
1310,32.0,190.5,187,66.0,66.0,239.0,214.0,248.0,300.0,262.0,197.0,56.0,158505,Adailton
1309,32.0,190.5,187,66.0,66.0,239.0,214.0,248.0,300.0,262.0,197.0,56.0,158505,Adailton
1308,32.0,190.5,187,66.0,66.0,239.0,214.0,248.0,300.0,262.0,197.0,56.0,158505,Adailton
1307,32.0,190.5,187,66.0,66.0,239.0,214.0,248.0,290.0,262.0,197.0,56.0,158505,Adailton
1306,32.0,190.5,187,67.0,67.0,244.0,219.0,245.0,292.0,267.0,206.0,61.0,158505,Adailton
1314,28.0,190.5,187,66.0,69.0,239.0,214.0,248.0,303.0,262.0,197.0,56.0,158505,Adailton
2448,24.0,177.8,157,63.0,69.0,269.0,316.0,378.0,330.0,274.0,176.0,48.0,223844,Aderlan
2450,16.0,177.8,157,63.0,69.0,269.0,284.0,378.0,330.0,274.0,176.0,48.0,223844,Aderlan
2449,24.0,177.8,157,63.0,69.0,269.0,284.0,378.0,330.0,274.0,176.0,48.0,223844,Aderlan
2447,25.0,177.8,157,67.0,73.0,277.0,321.0,379.0,347.0,279.0,187.0,53.0,223844,Aderlan
2446,25.0,177.8,157,67.0,73.0,277.0,321.0,376.0,350.0,279.0,194.0,53.0,223844,Aderlan
2445,25.0,177.8,157,67.0,71.0,277.0,321.0,376.0,350.0,279.0,194.0,53.0,223844,Aderlan
2444,25.0,177.8,157,67.0,71.0,277.0,321.0,374.0,350.0,279.0,194.0,53.0,223844,Aderlan
2443,25.0,177.8,157,67.0,71.0,277.0,321.0,374.0,349.0,279.0,194.0,53.0,223844,Aderlan
2541,31.0,193.04,194,66.0,66.0,309.0,252.0,259.0,322.0,282.0,65.0,60.0,200794,Adilson
2542,31.0,193.04,194,66.0,66.0,309.0,252.0,259.0,322.0,282.0,65.0,60.0,200794,Adilson
2543,31.0,193.04,194,67.0,67.0,318.0,252.0,262.0,324.0,282.0,65.0,60.0,200794,Adilson
2544,30.0,193.04,194,68.0,68.0,319.0,252.0,264.0,334.0,254.0,65.0,60.0,200794,Adilson
2545,29.0,193.04,194,68.0,68.0,319.0,252.0,264.0,334.0,254.0,65.0,60.0,200794,Adilson
2546,29.0,193.04,194,68.0,69.0,290.0,249.0,343.0,322.0,242.0,65.0,60.0,200794,Adilson
2547,25.0,193.04,194,68.0,69.0,290.0,249.0,343.0,322.0,242.0,65.0,60.0,200794,Adilson
